,Series_Title,Released_Year,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross,Certificate_16,Certificate_A,Certificate_Approved,Certificate_G,Certificate_GP,Certificate_PG,Certificate_PG-13,Certificate_Passed,Certificate_R,Certificate_TV-14,Certificate_TV-MA,Certificate_TV-PG,Certificate_U,Certificate_U/A,Certificate_UA,Certificate_Unrated,Certificate_nan,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Film-Noir,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western
33,Joker,0.9995049504950495,0.27898550724637683,8.5,0.4305555555555556,Todd Phillips,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,0.3943724434021765,0.3581338762377318,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,Whiplash,0.997029702970297,0.22101449275362317,8.5,0.8333333333333333,Damien Chazelle,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,0.2987447918958491,0.01397591670633595,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
35,The Intouchables,0.9955445544554455,0.24275362318840582,8.5,0.4027777777777778,Olivier Nakache,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,0.3171980248677536,0.014072302706939026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,The Prestige,0.9930693069306931,0.3079710144927536,8.5,0.5277777777777778,Christopher Nolan,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,0.5026574381088704,0.05667855342998617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
37,The Departed,0.9930693069306931,0.38405797101449274,8.5,0.7916666666666667,Martin Scorsese,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,0.5024477765957356,0.14133504150039697,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,The Pianist,0.9910891089108911,0.3804347826086956,8.5,0.7916666666666667,Roman Polanski,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,0.30392938462188884,0.03477381334538864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,Gladiator,0.9900990099009901,0.3985507246376812,8.5,0.5416666666666666,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,0.5678858958197981,0.20039708926897473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,American History X,0.9891089108910891,0.26811594202898553,8.5,0.4722222222222222,Tony Kaye,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,0.435551086227827,0.007172882797330757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,The Usual Suspects,0.9876237623762376,0.22101449275362317,8.5,0.6805555555555556,Bryan Singer,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,0.41678638080225294,0.02491858313038191,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
42,Léon,0.9871287128712871,0.23550724637681159,8.5,0.5,Luc Besson,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,0.43578016084402993,0.02081856153451988,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,The Lion King,0.9871287128712871,0.1557971014492754,8.5,0.8333333333333333,Roger Allers,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,0.3955773499992666,0.45137195645997485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Terminator 2: Judgment Day,0.9856435643564356,0.3333333333333333,8.5,0.6527777777777777,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,0.4186405478463966,0.2186939164708612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Nuovo Cinema Paradiso,0.9841584158415841,0.3985507246376812,8.5,0.7222222222222223,Giuseppe Tornatore,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,0.08872866607823394,0.012799825149105186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
46,Hotaru no haka,0.9841584158415841,0.15942028985507245,8.5,0.9166666666666667,Isao Takahata,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,0.09065617151174579,0.025120709637378703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
47,Back to the Future,0.9826732673267327,0.2572463768115942,8.5,0.8194444444444444,Robert Zemeckis,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,0.4456355461682417,0.22485026598526178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,Once Upon a Time in the West,0.9742574257425742,0.43478260869565216,8.5,0.7222222222222223,Sergio Leone,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,0.11982457457263133,0.005679966876380409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Psycho,0.9702970297029703,0.23188405797101447,8.5,0.9583333333333333,Alfred Hitchcock,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,0.24983498862392162,0.03416251742412826,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
50,Casablanca,0.9613861386138614,0.2065217391304348,8.5,1.0,Michael Curtiz,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,0.21440909534076896,0.001092449762930218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
